Negative,Magnification,,Scan,,Alignment sf of area,Pre-Test Downscaling,,sf,Final sf_L,Final sf_A,1/sf_L,1/sf_A,Special Notice
Name,(nm/nm),(mm/nm),(ppi = pix/in),(pix/mm),det(S) (pix2/pix2),in res,out res,(pix/pix),(pix/nm),(pix2/nm2),(nm/pix),(nm2/pix2),
10hr2155_1,60000,0.06,720,28.34645669,5.086248577,5040,512,0.1015873016,0.3896621706,0.1518366072,2.56632559,6.586027036,
,,,,,,,512,,,,,,
10hr2153_2,60000,0.06,720,28.34645669,4.279346659,5117,512,0.1000586281,0.3520410508,0.1239329015,2.840577818,8.068882339,
10hr2154_3,60000,0.06,720,28.34645669,4.324671557,5117,512,0.1000586281,0.3539004698,0.1252455425,2.825653214,7.984316086,
10hr2152_1,60000,0.06,720,28.34645669,4.413536641,5117,512,0.1000586281,0.3575180249,0.1278191381,2.797061771,7.823554552,
2153,,,,,4.339184952,,512,,0.3544865152,0.1256658607,2.821097601,7.958917659,
,,,,,,,512,,,,,,
10hr2146_3,60000,0.06,720,28.34645669,5.151264457,5282,512,0.09693297993,0.374178231,0.1400093486,2.672523191,7.142380206,
10hr2145_2,60000,0.06,720,28.34645669,5.170467738,5282,512,0.09693297993,0.3748750275,0.1405312862,2.667555656,7.11585318,
10hr2147_4,60000,0.06,720,28.34645669,5.16964007,5282,512,0.09693297993,0.374845022,0.1405087905,2.667769188,7.11699244,
10hr2144_1,60000,0.06,720,28.34645669,5.157886793,5282,512,0.09693297993,0.3744186708,0.1401893411,2.670806981,7.133209931,
2144,,,,,5.162314765,,512,,0.3745792378,0.1403096916,2.669663754,7.127108939,
,,,,,,,512,,,,,,
10hr2136_1,60000,0.06,720,28.34645669,5.130166456,5763,512,0.08884261669,0.3422449904,0.1171316335,2.921883528,8.537403349,
10hr2138_3,60000,0.06,720,28.34645669,5.140657621,5763,512,0.08884261669,0.3425947564,0.1173711671,2.918900483,8.519980032,
10hr2137_2,60000,0.06,720,28.34645669,5.135452314,5763,512,0.08884261669,0.3424212608,0.1172523199,2.920379411,8.528615905,
10hr2139_4,60000,0.06,720,28.34645669,5.145116395,5763,512,0.08884261669,0.3427432998,0.1174729695,2.917635445,8.512596591,
2136,,,,,5.137848197,,512,,0.3425010768,0.1173070225,2.919699717,8.524648969,
,,,,,,,512,,,,,,
10hr2127_3,60000,0.06,720,28.34645669,4.155832818,5059,512,0.1012057719,0.35090079,0.1231313644,2.849808346,8.121407611,
10hr2127_2,60000,0.06,720,28.34645669,4.144900682,5059,512,0.1012057719,0.3504389546,0.1228074609,2.853564043,8.142827746,
10hr2127_4,60000,0.06,720,28.34645669,4.172906165,5059,512,0.1012057719,0.3516208515,0.1236372232,2.843972409,8.088179064,
2127,,,,,4.157879888,,512,,0.3509868653,0.1231920162,2.849114933,8.117471474,
